Solution to puzzle: 1116
         8883549 function calls (8881808 primitive calls) in 11.700 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:154(_NetlocResultMixinBase)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.004    0.004 inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      400    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       78    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      109    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        2    0.000    0.000    0.007    0.003 shape_base.py:1(<module>)
      307    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
      229    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.011    0.011 twodim_base.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
      107    0.000    0.000    0.001    0.000 re.py:188(match)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       44    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fa7cbe70160}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
      343    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      928    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       21    0.000    0.000    0.003    0.000 sre_parse.py:937(parse)
      151    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      396    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
