Sys.argv: ['dijkstra.py', '--debug', 'False']
Getting all possible blizzards...
         2239576 function calls (1912412 primitive calls) in 1.008 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      183    0.000    0.000    0.000    0.000 typing.py:929(_value_and_type_iter)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
  108/106    0.000    0.000    0.000    0.000 typing.py:916(__hash__)
      107    0.000    0.000    0.001    0.000 re.py:188(match)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      260    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        1    0.000    0.000    1.008    1.008 dijkstra.py:2(<module>)
      434    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      494    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1922(chararray)
      279    0.000    0.000    0.000    0.000 typing.py:733(__eq__)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       59    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      107    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
    37/27    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.021    0.021 linalg.py:1(<module>)
       73    0.000    0.000    0.001    0.000 enum.py:334(__call__)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1011(__init__)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
