Skipping:
pos == (0, 0)
pos == (0, 0)
Solution to puzzle: 1001
         7448013 function calls (7445700 primitive calls) in 8.759 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.003    0.003 tokenize.py:1(<module>)
      422    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f15344fdb80}
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.018    0.018 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.043    0.043 fromnumeric.py:1(<module>)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      589    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      442    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      368    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      353    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      426    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
     1002    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
       27    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.030    0.030 getlimits.py:158(_register_known_types)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      342    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      403    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      109    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      297    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
