         2502683 function calls (2500910 primitive calls) in 2.578 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 main.py:48(parse_input)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1633(__init__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f709259dc60}
      488    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:888(find_spec)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1727(_fill_cache)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1482(_path_hooks)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _version.py:1(<module>)
      928    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
    25/23    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1316(create_module)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      394    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.004    0.004 <frozen ntpath>:1(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
       19    0.000    0.000    0.002    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 pickle.py:1129(_Unpickler)
       24    0.000    0.000    0.000    0.000 numerictypes.py:513(_scalar_type_key)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
      209    0.000    0.000    0.000    0.000 _parser.py:247(match)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
       50    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
      342    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      159    0.000    0.000    0.000    0.000 _parser.py:170(append)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
       32    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
       72    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      142    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       23    0.000    0.000    0.001    0.000 overrides.py:220(decorator)
    25/16    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1324(exec_module)
      156    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6825(getdoc)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
      102    0.000    0.000    0.000    0.000 _parser.py:284(tell)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
    22/17    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        9    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
      105    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       82    0.000    0.000    0.000    0.000 overrides.py:121(decorator)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1768(path_hook_for_FileFinder)
       42    0.000    0.000    0.000    0.000 enum.py:699(__call__)
       78    0.000    0.000    0.000    0.000 _internal.py:880(<genexpr>)
      139    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6753(refer_to_array_attribute)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.019    0.019 py3k.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.034    0.034 overrides.py:1(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:491(__new__)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       82    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
       19    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       23    0.000    0.000    0.000    0.000 _parser.py:440(_uniq)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 datetime.py:1674(datetime)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        9    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        7    0.000    0.000    0.000    0.000 getlimits.py:668(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:359(__setitem__)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 pathlib.py:240(PurePath)
       14    0.000    0.000    0.000    0.000 core.py:8215(getdoc)
       42    0.000    0.000    0.000    0.000 enum.py:1095(__new__)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       68    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:243(__set_name__)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 datetime.py:899(date)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2966(__array_finalize__)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
       36    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:565(has_location)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:718(Path)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
        1    0.000    0.000    2.578    2.578 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1908(chararray)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1207(get_filename)
        1    0.000    0.000    0.000    0.000 threading.py:850(Thread)
       19    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
       15    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
