Solution to puzzle: 1580758017509
         199160 function calls (196840 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       50    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
       64    0.000    0.000    0.000    0.000 enum.py:631(__new__)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
       82    0.000    0.000    0.000    0.000 overrides.py:121(decorator)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       26    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       45    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.639    0.639 tetriswithrangedetection.py:2(<module>)
       82    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
       13    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       23    0.000    0.000    0.001    0.000 overrides.py:221(decorator)
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        1    0.000    0.000    0.003    0.003 ntpath.py:2(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       84    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       24    0.000    0.000    0.000    0.000 numerictypes.py:513(_scalar_type_key)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       27    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
      279    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    21/16    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
       28    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      364    0.000    0.000    0.000    0.000 enum.py:748(name)
